Timestamp,SIM,RSSI,Network,Distance
14 Aug 08:59:16,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:18,SIM1,-59 dBm,NR NSA 5G,1.0
14 Aug 08:59:20,SIM1,-59 dBm,NR NSA 5G,1.0
14 Aug 08:59:23,SIM1,-59 dBm,NR NSA 5G,1.0
14 Aug 08:59:25,SIM1,-60 dBm,NR NSA 5G,1.0
14 Aug 08:59:27,SIM1,-59 dBm,NR NSA 5G,1.0
14 Aug 08:59:30,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:32,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:34,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 08:59:37,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 08:59:39,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 08:59:41,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:44,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:46,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:48,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:51,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:53,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:55,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 08:59:58,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 09:00:00,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 09:00:02,SIM1,-57 dBm,NR NSA 5G,1.0
14 Aug 09:00:05,SIM1,-57 dBm,NR NSA 5G,1.0
14 Aug 09:00:07,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 09:00:09,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 09:00:12,SIM1,-57 dBm,NR NSA 5G,1.0
14 Aug 09:00:14,SIM1,-57 dBm,NR NSA 5G,1.0
14 Aug 09:00:16,SIM1,-57 dBm,NR NSA 5G,1.0
14 Aug 09:00:19,SIM1,-56 dBm,NR NSA 5G,1.0
14 Aug 09:00:21,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 09:00:23,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:26,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:28,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 09:00:30,SIM1,-55 dBm,NR NSA 5G,1.0
14 Aug 09:00:33,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:35,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:37,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:40,SIM1,-53 dBm,NR NSA 5G,1.0
14 Aug 09:00:42,SIM1,-53 dBm,NR NSA 5G,1.0
14 Aug 09:00:44,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:47,SIM1,-54 dBm,NR NSA 5G,1.0
14 Aug 09:00:49,SIM1,-54 dBm,NR NSA 5G,1.0
